[2023-07-01 12:15:58] map[field 'use' not found in type: 'query_root':code : validation-failed; path : $.selectionSet.use]
[2023-07-01 12:17:20] map[field 'use' not found in type: 'query_root':code : validation-failed xxxxx path : $.selectionSet.use]
[2023-07-01 12:23:36] map[field 'use' not found in type: 'query_root': [code] : validation-failed [path] : $.selectionSet.use]
[2023-07-01 12:23:37] map[field 'use' not found in type: 'query_root': [code] : validation-failed [path] : $.selectionSet.use]
[2023-07-01 12:23:38] map[field 'use' not found in type: 'query_root': [code] : validation-failed [path] : $.selectionSet.use]
[2023-07-01 12:23:39] map[field 'use' not found in type: 'query_root': [code] : validation-failed [path] : $.selectionSet.use]
[2023-07-01 12:23:40] map[field 'use' not found in type: 'query_root': [code] : validation-failed [path] : $.selectionSet.use]
[2023-07-01 12:23:41] map[field 'use' not found in type: 'query_root': [code] : validation-failed [path] : $.selectionSet.use]
[2023-07-01 12:23:41] map[field 'use' not found in type: 'query_root': [code] : validation-failed [path] : $.selectionSet.use]
[2023-07-01 12:23:42] map[field 'use' not found in type: 'query_root': [code] : validation-failed [path] : $.selectionSet.use]
[2023-07-01 12:23:43] map[field 'use' not found in type: 'query_root': [code] : validation-failed [path] : $.selectionSet.use]
[2023-07-01 12:23:44] map[field 'use' not found in type: 'query_root': [code] : validation-failed [path] : $.selectionSet.use]
[2023-07-01 12:23:45] map[field 'use' not found in type: 'query_root': [code] : validation-failed [path] : $.selectionSet.use]
[2023-07-01 12:23:46] map[field 'use' not found in type: 'query_root': [code] : validation-failed [path] : $.selectionSet.use]
[2023-07-01 12:23:46] map[field 'use' not found in type: 'query_root': [code] : validation-failed [path] : $.selectionSet.use]
[2023-07-01 16:18:04] map[Uniqueness violation. duplicate key value violates unique constraint "user_user_username_key": [code]: constraint-violation [path]: $.selectionSet.insert_user_one.args.object]
